up,down,mean_length,var_length,mean_time,var_time
14,11,241.2,119313.76,2.9204766949017844,87.98562874539304
5,2,132.0,5745.142857142857,15.663121938705444,346.87579801620956
3,2,54.4,259.84,22.422120571136475,603.3913052580402
2,3,62.0,286.4,24.501296877861023,662.313501801081
2,3,65.2,320.96,19.295284152030945,601.18631273542
1,2,51.333333333333336,54.22222222222222,37.24719166755676,1387.3532871197099
2,3,65.2,320.96,11.966703732808432,200.4994727066553
4,4,59.0,194.0,12.418475491659981,284.29772773392125
1,2,74.66666666666667,256.88888888888886,17.39761710166931,302.6770808162965
1,1,47.0,25.0,8.753936886787415,138.07030799064782
3,3,71.66666666666667,320.55555555555554,9.45007848739624,293.42995998220977
1,2,60.0,354.6666666666667,8.193686604499817,101.59296419340043
2,1,104.0,6514.666666666667,5.688453018665314,51.73864246521936
4,2,146.33333333333334,5264.555555555556,14.83383560180664,120.55002607144525
4,3,57.42857142857143,256.8163265306123,6.249672571818034,64.41813501823061
2,2,67.5,346.75,12.16218376159668,197.99379898829238
1,2,74.66666666666667,256.88888888888886,0.6011199951171875,0.3505436186571842
1,2,72.0,210.66666666666666,26.173038482666016,683.2595077010012
1,2,74.66666666666667,256.88888888888886,19.80168581008911,392.10676092148447
1,2,60.0,354.6666666666667,27.65360673268636,689.4509613872301
1,2,72.0,210.66666666666666,15.683082342147827,245.00845615538225
1,2,74.66666666666667,256.88888888888886,9.202799797058105,84.52739587519318
5,2,80.0,509.14285714285717,12.280977567036947,232.7205924311891
1,2,72.0,210.66666666666666,6.387200057506561,98.203144649053
3,2,96.8,3986.56,9.430952469507853,174.97284037734823
3,1,176.5,5166.75,16.717569828033447,89.6132578091662
